VendorID,VendorName,ContactInfo,Specialty
V1,QuickFix Plumbing,plumbing@example.com,Plumbing
V2,Sparkle Cleaners,cleaning@example.com,Cleaning
V3,Wall Pros Painting,paint@example.com,Paint/Drywall
V4,Flooring Solutions,flooring@example.com,Flooring
V5,Volt Electrical,electrical@example.com,Electrical
V6,Comfort HVAC,hvac@example.com,HVAC
V7,Appliance Docs,appliances@example.com,Appliance
V8,All-Pro Garage Doors,garage@example.com,Garage
V9,Handy Helpers,handyman@example.com,Handyman
V10,Roof Rite,roofing@example.com,Roofing
V11,Lawn Gurus,lawn@example.com,Landscaping
V12,Pool Pros,pool@example.com,Pool Maintenance
V13,Pest Control Masters,pest@example.com,Pest Control
V14,Glass Experts,glass@example.com,Glass Repair
V15,Locksmith Heroes,locks@example.com,Locksmith
V16,Junk Removal Services,junk@example.com,Junk Removal
V17,Security Systems Inc,security@example.com,Security
V18,Elevator Repair Pros,elevator@example.com,Elevator
V19,Window Washers,windows@example.com,Window Cleaning
V20,Fire Safety Solutions,fire@example.com,Fire Safety
V21,Quick Dry Restoration,dry@example.com,Water Damage
V22,Elite Landscaping,landscape@example.com,Landscaping
V23,Secure Locksmith,locks@example.com,Locksmith
V24,Apex Roofing,roof@example.com,Roofing
V25,Clean Sweep Chimney,chimney@example.com,Chimney
V26,Precision Tile,tile@example.com,Tile Work
V27,Concrete Solutions,concrete@example.com,Concrete Work
V28,Deck Builders Inc,deck@example.com,Deck/Patio
V29,Fence Pros,fence@example.com,Fencing
V30,Window World,windows@example.com,Window Repair/Replacement
