CommunicationID,ThreadID,RelatedEntityID,RelatedEntityType,Timestamp,Type,Direction,Subject,Status,AcknowledgementTimestamp,ResolutionTimestamp,SequenceInThread
C1,TKT1,U1,Unit,10/06/2024 08:55,Email,Inbound,Leaky faucet in kitchen,Resolved,10/06/2024 09:10,12/06/2024 10:00,1
C2,TKT1,U1,Unit,10/06/2024 09:10,Email,Outbound,RE: Leaky faucet in kitchen - WO created,Acknowledged,10/06/2024 09:10,12/06/2024 10:00,2
C3,TKT1,U1,Unit,11/06/2024 11:10,Email,Outbound,Update on WO# WO1,Acknowledged,11/06/2024 11:10,12/06/2024 10:00,3
C4,TKT1,U1,Unit,12/06/2024 09:05,Email,Outbound,WO# WO1 Completed,Resolved,12/06/2024 09:05,12/06/2024 10:00,4
C5,TKT2,O3,Owner,15/06/2024 10:00,Email,Inbound,Question about statement,Resolved,15/06/2024 10:30,15/06/2024 11:00,1
C6,TKT2,O3,Owner,15/06/2024 10:30,Email,Outbound,RE: Question about statement - Acknowledged,Acknowledged,15/06/2024 10:30,15/06/2024 11:00,2
C7,TKT2,O3,Owner,15/06/2024 11:00,Phone Call,Outbound,Discussing statement details,Resolved,,15/06/2024 11:00,3
C8,TKT3,U7,Unit,20/08/2024 09:00,Email,Outbound,Lease Renewal Offer Sent - Unit U7,Acknowledged,20/08/2024 09:00,,1
C9,TKT3,U7,Unit,22/08/2024 10:00,Email,Inbound,Question about renewal terms,Open,22/08/2024 10:15,,2
C10,TKT4,T4,Tenant,01/06/2024 08:00,Email,Inbound,Move-out notice U4,Resolved,01/06/2024 09:00,01/06/2024 10:00,1
C11,TKT4,T4,Tenant,01/06/2024 09:00,Email,Outbound,RE: Move-out notice U4 - Confirmed,Acknowledged,01/06/2024 09:00,01/06/2024 10:00,2
C12,TKT5,U8B,Unit,05/07/2024 09:00,System Message,Outbound,Owner Approval Requested for WO# WO4,Acknowledged,05/07/2024 09:00,05/07/2024 09:00,1
C13,TKT5,O8,Owner,05/07/2024 09:30,Email,Inbound,Approved WO# WO4,Resolved,05/07/2024 09:45,05/07/2024 10:00,2
C14,TKT6,U14B,Unit,15/08/2024 09:00,Email,Outbound,Lease Executed & Deposit Received - Unit U14B,Resolved,15/08/2024 09:00,15/08/2024 09:00,1
C15,TKT7,U11B,Unit,09/07/2024 10:10,Email,Outbound,Lease Executed & Deposit Received - Unit U11B,Resolved,09/07/2024 10:10,09/07/2024 10:10,1
C16,TKT8,A18,Application,18/06/2024 15:06,System Message,Outbound,Application A18 Approved & Leased,Resolved,18/06/2024 15:06,18/06/2024 15:06,1
C17,TKT9,WO3,WorkOrder,20/06/2024 09:00,Email,Outbound,WO# WO3 Verified Complete,Resolved,20/06/2024 09:00,20/06/2024 09:00,1
C18,TKT10,U4,Unit,05/06/2024 09:05,Email,Outbound,"Final Assessment Approved for U4 Make-Ready (WO2, WO17)",Resolved,05/06/2024 09:05,05/06/2024 09:05,1
C19,TKT9,O5,Owner,20/06/2024 10:00,Email,Inbound,"Looks good, thanks!",Resolved,20/06/2024 10:05,20/06/2024 10:05,2
C20,TKT3,T8,Tenant,24/08/2024 11:00,Phone Call,Inbound,Will sign renewal tomorrow,Open,24/08/2024 11:05,,3
C21,TKT11,U21,Unit,01/03/2024 08:50,Email,Inbound,Running toilet in master bath,Resolved,01/03/2024 09:05,05/03/2024 10:00,1
